,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,pH,sulphates,other_acids,free sulfur dioxide,total sulfur dioxide,density,alcohol
966,-0.5526390052794626,0.0018767693245384934,-0.26658129634522776,-0.7659755014927808,-0.4293503161220488,-0.5499424180453153,-1.0834158030529435,-0.2860577089342349,0.7028767691768594,1.2784610043222582,-0.6325397293321069,-0.7477661485761627
6331,-0.8611262840281105,0.3663163547688021,-1.092722522050746,-0.7659755014927808,0.3698886264027047,1.2542591798354954,1.40309886531969,0.2315962380226354,-1.1001398607084654,-1.6056012239295312,0.2679278471094768,-0.32852110951718577
5687,1.0669192081509369,1.7633347656384792,-1.0238774199086194,-0.5347741879927165,1.226216064822083,-0.7987978108564618,-0.0753693158748488,2.0907966280595565,-0.5366971638693013,0.05760030647334111,1.101694121592396,-0.999313172011548
515,-0.8611262840281105,-0.18034302339759348,-0.4042715006294809,-0.6819022965836665,-0.14390783664892268,0.9431899388215638,-0.41138481160088064,-0.4568547833986296,-0.14228727608188654,0.9068947049769356,-0.6992410312907346,-0.07697408608179901
3649,-0.1670299068436532,-0.3018228852123481,0.3530246229339106,-0.8080121039473379,-0.6006158038059243,0.2588376085909095,-0.41138481160088064,-0.5200545297775638,0.19577834202161185,0.18145573958844866,-1.3729241810729915,1.5161570623423135
3414,1.2982846672124229,-0.2410829543049708,0.21533441864965747,-0.17746306712898088,-0.6862485476478623,-0.425514721639742,-0.5457910098912929,1.0829502485627656,0.08308980265377904,0.5707156722359293,-0.03889814190029165,0.8453649998479499
3966,-1.4009790218382432,-0.9395921597398094,-0.8861872156243665,0.3479944635529834,-0.2295405804908604,0.2588376085909095,-0.8146034064721185,-0.5147918062138767,0.3084668813894446,-0.10164239324608283,-0.10559944385891924,-0.8316151563879578
6204,1.915259224709717,2.1277743510827425,0.008799112223278146,-0.6188473929018308,0.9122293374016444,0.4454791531992707,0.5966616755772142,1.906460112486439,-0.480352894185385,-0.43782142598708895,1.068343470613082,-0.32852110951718577
5027,-0.8611262840281105,0.2448364929540475,-1.1615676241928723,-0.7659755014927808,0.4555213702446426,1.2542591798354954,0.2606461798511823,0.3004413401647619,-1.381861209128047,-1.7117630237424806,0.2679278471094768,-0.9154641641997529
5297,1.1440410278380984,2.5833238328880723,-0.679651909197987,-0.660883995356388,0.22716738666614145,-0.7365839626536738,0.1262399815607703,1.8236929370360853,-1.2128284000762979,-1.3048094577928415,0.5347330549439872,-0.9154641641997529
2877,-0.5526390052794626,-1.1521819179156298,1.5922364614921882,0.09577484882564068,-0.3151733243327983,-1.5453639892898985,-0.8818065056173244,-2.144875466771651,2.505893399062184,0.8184265384661444,0.04114342045011332,-0.999313172011548
2377,-0.1670299068436532,-0.7270024015639889,-0.1977361942031016,0.7263238856439979,-0.1724520845962351,0.4454791531992707,-0.4785879107460866,0.030706287359448362,-0.36766435481755216,-0.4555150592892472,0.28793823769705024,-0.5800681329525711
1805,0.21857919159215625,-0.05886316158283882,0.4907148272181638,1.461964428598748,0.2557116346134541,-0.3633008734369541,-0.9490096047625308,-0.2721356356260075,-0.08594300639797016,0.05760030647334111,0.901590215716476,-0.9154641641997529
1114,-0.5526390052794626,1.0951955256573294,-1.0238774199086194,-0.850048706401895,-0.25808482843817304,0.2588376085909095,-1.419431298778975,0.4712384146291567,-1.4382054788119636,-1.5879075906273732,-0.4991371254148517,-0.4123701173289809
61,-0.938248103715272,-0.9092221942861208,-0.4042715006294809,1.461964428598748,-0.2295405804908604,0.507693001402056,-1.15061890219815,-0.5339766030857912,1.097286656964274,0.5530220389337712,0.8348889137578485,-1.3347092032587298
4931,-0.2441517265308148,1.6114849383700358,-1.368102930619252,1.1046533077350118,0.4840656181919548,1.4409007244438568,-0.0753693158748488,1.1239512040884372,0.5338439601251103,-0.5793704924043547,1.5352525843235123,-0.9154641641997529
3484,-0.7840044643409482,0.18409656204667013,-0.5419617049137341,0.1378114512801977,-0.6862485476478623,-1.1098670518703937,-1.8226498936502131,-0.2420427594272141,-0.6493857032371341,-0.52628959249788,-1.7864722532164978,2.4384961482720633
3386,-0.8611262840281105,-0.3625628161197251,-0.33542639848735434,-0.1564447659017022,-0.7433370435424875,-0.3633008734369541,-0.7474003073269121,-0.5256998855407562,1.4353522750677723,0.4291666058186637,-1.426285222639842,1.6838550779659038
5068,0.5270664703408041,3.3122030037766,-1.9877088498983908,-0.7659755014927808,0.055901898982265615,0.8809760906187757,-1.3522281996337686,2.514775320239195,-1.4945497484958798,-1.9063929900662209,0.8348889137578485,-1.1670111876351397
5358,1.5296501262739084,0.5485361474909337,1.3857011550658085,-0.660883995356388,0.7695080976650812,0.8187622424159905,0.5294585764320078,0.14394897120809946,-0.931107051656716,-1.6409884905338477,0.9682915176751408,0.6776669842243598
2533,-0.6297608249666243,-0.7270024015639889,-0.12889109206097502,1.2097448138714046,-0.2866290763854857,-0.05223163242302229,-1.2850251004885622,-0.5008697329056493,1.2663194660160233,0.5884093055380876,0.031138225156289563,0.2584219451653829
2160,-0.938248103715272,-0.05886316158283882,0.4218697250760372,0.8944702954622262,-0.4578945640693613,1.56532842084943,-0.34418171245567425,-1.3601178287913094,-0.08594300639797016,0.1460684729841322,0.23457719613012595,0.4261199607889731
483,-0.3983953659051387,0.7914958711204427,0.14648931650753128,0.7263238856439979,-0.3722618202274236,0.009982215779765716,0.4622554772868014,-0.5448846824126701,0.02674553296986264,0.9953628714877266,0.568083705923301,-1.0831621798233446
3070,-0.3212735462179772,-0.3625628161197251,0.7660952357866697,0.4530859696893762,-0.7433370435424875,-0.861011659059247,0.395052378141595,-1.087368782004647,-0.02959873671405376,-0.10164239324608283,-1.0194072806922063,1.6838550779659038
5287,1.838137405022556,0.2448364929540475,-0.06004598991884842,-0.6188473929018308,1.140583320980145,-0.17665932882859556,1.1342864687388643,1.8981833949414042,-0.8184185122888833,-1.180954024677734,1.1683954235510234,-0.4123701173289809
797,-0.2441517265308148,-0.6055225397492344,0.07764421436540472,1.4829827298260263,-0.2866290763854857,0.3832653049964827,1.6047081627553088,-0.32179594089621955,0.9282538479125251,0.6591838387467205,1.2017460745303372,-0.7477661485761627
3425,-0.0899080871564916,-1.0307020561008753,0.5595599293602903,1.913857904985237,-0.25808482843817304,0.7565483942132024,1.6719112619005152,-0.6494680165167819,0.9282538479125251,0.7122647386531951,1.585278560792483,-1.1670111876351397
2778,0.29570101127931786,0.3055764238614248,0.008799112223278146,-0.3876460794017665,-0.6006158038059243,-0.861011659059247,0.4622554772868014,0.2869018990560397,-0.480352894185385,-0.4024341593827725,-1.086108582650834,1.6838550779659038
640,-1.24673538246392,-0.6358925052029231,-0.1977361942031016,-0.8920853088564522,-0.25808482843817304,0.7565483942132024,-0.20977551416526152,-1.0489991882608185,0.13943407233769542,0.19914937289060686,-1.2328514469598295,0.4261199607889731
6484,0.21857919159215625,-0.18034302339759348,0.6284050315024166,-0.6398656941291094,0.2557116346134541,0.7565483942132024,2.142332955916959,-0.4098258399102603,0.19577834202161185,-0.9863240583539936,0.07449407142942711,0.7615159920361549
4349,-0.012786267469329295,0.0018767693245384934,-0.26658129634522776,1.0415984040531765,1.4831142963478967,-1.6075778374926866,0.2606461798511823,0.25379502887589844,0.7028767691768594,1.2607673710200995,0.8949200855206059,-0.9154641641997529
4622,-0.5526390052794626,0.9737156638425748,-0.679651909197987,-0.2825545732653737,-0.5720715558586117,0.2588376085909095,0.1262399815607703,0.12701290391852438,0.25212261170552824,0.2699239060992397,-1.4996566547943768,2.103100117024881
6098,0.37282283096648017,1.398895180194215,-0.7484970113401136,-0.8290304051746165,0.3698886264027047,-0.3633008734369541,0.059036882415563936,1.1213198423065938,-1.4945497484958798,-1.8886993567640624,-0.03889814190029165,-0.5800681329525711
3094,1.915259224709717,-0.6055225397492344,1.1791658486394287,-0.114408163447145,-0.6862485476478623,-2.291930167723338,0.059036882415563936,0.7360933760702886,-1.5508940181797966,-1.7294566570446388,-0.3390540007141529,-0.4123701173289809
560,-0.3983953659051387,-0.7877423324713663,0.6972501336445431,0.7683604880985548,-0.20099633254354773,-0.6121562662481006,1.40309886531969,-1.0956454995496818,0.02674553296986264,0.6061029388402458,0.20122654515081215,-0.4962191251407759
352,-1.3238572021510815,-0.028493196129150168,-0.12889109206097502,-0.6188473929018308,0.4269771222973296,-0.4877285698425273,-0.14257241502005516,-1.1949661100901066,-0.1986315457658029,0.21684300619276506,-0.7659423332493992,-0.7477661485761627
2725,-0.2441517265308148,-0.6662624706566116,0.008799112223278146,2.3026964776898904,-0.3151733243327983,0.009982215779765716,-0.7474003073269121,-0.25295083875409297,1.7734178931712712,0.6591838387467205,0.8348889137578485,0.006874921729996099
4996,0.29570101127931786,3.403312900137666,-1.781173543472011,-0.6188473929018308,0.6553311058758307,1.0676176352271372,0.19344308070597666,2.076874554751329,-1.4382054788119636,-1.8710057234619044,0.6681356588612795,-0.5800681329525711
2076,-0.3212735462179772,0.1233566311392928,0.008799112223278146,-0.8080121039473379,-0.4864388120166739,0.507693001402056,0.932677171303246,-0.3300726584412553,-1.1564841303923816,0.1460684729841322,0.03447329025424315,-0.7477661485761627
5594,-0.1670299068436532,1.8848146274532336,-2.0565539520405167,-0.7029205978109451,0.2842558825607667,1.56532842084943,0.932677171303246,1.889524045196864,-1.2691726697602146,-1.6056012239295312,0.8348889137578485,-0.8316151563879578
